ts,device_id,value
2025-09-10 20:30:02.347899+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.9
2025-09-10 21:00:01.959265+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.8
2025-09-10 21:30:01.595891+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.8
2025-09-10 22:00:02.321164+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.1
2025-09-10 22:30:01.819562+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.5
2025-09-10 23:00:01.946422+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.2
2025-09-10 23:30:02.306741+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.1
2025-09-11 00:00:02.221908+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.9
2025-09-11 00:30:01.946354+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.4
2025-09-11 01:00:01.991963+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.1
2025-09-11 01:30:02.189213+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.2
2025-09-11 02:00:02.405096+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.3
2025-09-11 02:30:02.057166+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.5
2025-09-11 03:00:02.363242+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.4
2025-09-11 03:30:02.192090+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.3
2025-09-11 04:00:02.092137+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.3
2025-09-11 04:30:02.237438+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.6
2025-09-11 05:00:01.978367+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.1
2025-09-11 05:30:02.154003+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.2
2025-09-11 06:00:02.025274+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.9
2025-09-11 06:30:02.525132+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.4
2025-09-11 07:00:02.057677+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.1
2025-09-11 07:30:01.677849+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.3
2025-09-11 08:00:02.089371+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.0
2025-09-11 08:30:01.894106+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.9
2025-09-11 09:00:01.892466+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.7
2025-09-11 09:30:02.008842+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.1
2025-09-11 10:00:02.182742+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.9
2025-09-11 10:30:01.788171+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.8
2025-09-11 11:00:02.320511+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.6
2025-09-11 11:30:01.837545+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.6
2025-09-11 12:00:02.190434+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.3
2025-09-11 12:30:02.307072+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.2
2025-09-11 13:00:02.103809+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.3
2025-09-11 13:30:02.023999+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.2
2025-09-11 14:00:01.860410+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.8
2025-09-11 14:30:01.956898+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.6
2025-09-11 15:00:01.942681+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.8
2025-09-11 15:30:01.811904+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.0
2025-09-11 16:00:02.008518+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.0
2025-09-11 16:30:01.948309+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.0
2025-09-11 17:00:02.088505+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.9
2025-09-11 17:30:02.163114+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.9
2025-09-11 18:00:02.099440+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.8
2025-09-11 18:30:02.208137+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.8
2025-09-11 19:00:02.012985+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.7
2025-09-11 19:30:01.770401+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.7
2025-09-11 20:00:01.820080+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.6
2025-09-11 20:30:01.864581+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.6
2025-09-11 21:00:02.017011+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.6
2025-09-11 21:30:02.285418+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.9
2025-09-11 22:00:02.145639+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.1
2025-09-11 22:30:01.890678+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.6
2025-09-11 23:00:02.061685+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,29.1
2025-09-11 23:30:02.089339+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.9
2025-09-12 00:00:02.418032+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.2
